unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1623452400000,2021-06-11 23:00:00,ETC/USDT,56.93500000,57.14200000,56.06800000,56.86500000,51764.64600000,2924925.05443900,4535
1623448800000,2021-06-11 22:00:00,ETC/USDT,56.65300000,57.64700000,56.55500000,56.92900000,66742.33700000,3812752.22008300,5170
1623445200000,2021-06-11 21:00:00,ETC/USDT,57.23500000,58.00000000,56.42800000,56.68700000,58182.65800000,3322242.50684200,5115
1623441600000,2021-06-11 20:00:00,ETC/USDT,57.32700000,57.99800000,57.15500000,57.24400000,37391.41500000,2152122.75440300,12749
1623438000000,2021-06-11 19:00:00,ETC/USDT,57.64300000,57.67700000,57.22700000,57.32800000,34002.93200000,1952141.90444400,4298
1623434400000,2021-06-11 18:00:00,ETC/USDT,57.63600000,57.71700000,56.88300000,57.64700000,35416.20200000,2030929.92853400,5142
1623430800000,2021-06-11 17:00:00,ETC/USDT,57.06500000,57.79000000,56.88300000,57.63300000,42416.71500000,2438736.03116900,4327
1623427200000,2021-06-11 16:00:00,ETC/USDT,57.54500000,57.96500000,56.78900000,57.09400000,74008.05200000,4241249.57469000,7817
1623423600000,2021-06-11 15:00:00,ETC/USDT,58.64700000,58.70600000,57.31100000,57.53500000,107931.06800000,6247823.36225200,10140
1623420000000,2021-06-11 14:00:00,ETC/USDT,59.57100000,59.65600000,58.58000000,58.64300000,58545.20500000,3455987.66247600,6768
1623416400000,2021-06-11 13:00:00,ETC/USDT,58.68100000,60.40000000,58.68100000,59.56700000,129084.62400000,7703294.36730800,12270
1623412800000,2021-06-11 12:00:00,ETC/USDT,59.41500000,59.57400000,58.52900000,58.69200000,53807.78100000,3171298.58414800,4975
1623409200000,2021-06-11 11:00:00,ETC/USDT,59.73200000,59.87600000,58.80000000,59.39900000,51471.87100000,3049429.63945600,5300
1623405600000,2021-06-11 10:00:00,ETC/USDT,59.39200000,60.13000000,59.38400000,59.71100000,66570.04300000,3977346.24670700,5510
1623402000000,2021-06-11 09:00:00,ETC/USDT,58.91300000,60.25000000,58.91300000,59.39200000,97519.73500000,5807487.00426500,16402
1623398400000,2021-06-11 08:00:00,ETC/USDT,59.09000000,60.84000000,58.57500000,58.91200000,230936.42900000,13771916.17215400,42422
1623394800000,2021-06-11 07:00:00,ETC/USDT,57.26000000,59.18600000,57.12400000,59.12100000,134610.08300000,7851745.60493800,10303
1623391200000,2021-06-11 06:00:00,ETC/USDT,57.93400000,58.39000000,57.20000000,57.26100000,65098.36200000,3766133.87002200,5407
