unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1625367600000,2021-07-04 03:00:00,DOT/USDT,15.29400000,15.34900000,15.26700000,15.27100000,189100.77700000,2895577.58295800,4668
1625364000000,2021-07-04 02:00:00,DOT/USDT,15.21200000,15.34300000,15.16200000,15.29500000,196696.01800000,3004607.60037900,5547
1625360400000,2021-07-04 01:00:00,DOT/USDT,15.33600000,15.36900000,15.18000000,15.21000000,301805.26800000,4601195.73933800,7720
1625356800000,2021-07-04 00:00:00,DOT/USDT,15.52300000,15.53500000,15.32800000,15.33900000,172454.33400000,2663911.42471000,5041
1625353200000,2021-07-03 23:00:00,DOT/USDT,15.43600000,15.53900000,15.25300000,15.52000000,311588.76600000,4794335.93427500,8063
1625349600000,2021-07-03 22:00:00,DOT/USDT,15.50000000,15.52600000,15.30500000,15.43600000,333625.61400000,5142386.62058900,10253
1625346000000,2021-07-03 21:00:00,DOT/USDT,15.59100000,15.69600000,15.50000000,15.50000000,179572.97500000,2799196.55672100,5692
1625342400000,2021-07-03 20:00:00,DOT/USDT,15.59600000,15.61000000,15.51700000,15.58900000,200649.46000000,3123510.33748000,4858
1625338800000,2021-07-03 19:00:00,DOT/USDT,15.53200000,15.64500000,15.51500000,15.59700000,128354.67800000,1997869.29889500,4144
1625335200000,2021-07-03 18:00:00,DOT/USDT,15.66900000,15.69300000,15.51000000,15.53200000,273745.41900000,4263875.76701900,6300
1625331600000,2021-07-03 17:00:00,DOT/USDT,15.57300000,15.72500000,15.57000000,15.66900000,177515.59800000,2777852.78339300,5804
1625328000000,2021-07-03 16:00:00,DOT/USDT,15.65000000,15.67000000,15.56100000,15.57100000,216791.29100000,3380651.84535000,5985
1625324400000,2021-07-03 15:00:00,DOT/USDT,15.63600000,15.75200000,15.56600000,15.64900000,321266.06800000,5030963.52509500,10495
1625320800000,2021-07-03 14:00:00,DOT/USDT,15.60300000,15.65000000,15.49100000,15.63600000,340876.88300000,5303614.45665100,8407
1625317200000,2021-07-03 13:00:00,DOT/USDT,15.52700000,15.60900000,15.47800000,15.60600000,281443.12400000,4366580.07490100,7098
1625313600000,2021-07-03 12:00:00,DOT/USDT,15.55400000,15.64600000,15.49700000,15.52800000,427018.44700000,6654570.65525400,8930
1625310000000,2021-07-03 11:00:00,DOT/USDT,15.58700000,15.60200000,15.45000000,15.55000000,315089.39500000,4884975.42820400,8182
1625306400000,2021-07-03 10:00:00,DOT/USDT,15.58700000,15.64300000,15.53700000,15.58600000,310591.12700000,4840007.19972800,8929
1625302800000,2021-07-03 09:00:00,DOT/USDT,15.52800000,15.61000000,15.46500000,15.58800000,461064.50900000,7168344.35790100,11880
1625299200000,2021-07-03 08:00:00,DOT/USDT,15.45000000,15.55000000,15.34000000,15.52400000,560590.63500000,8649645.00290300,11961
1625295600000,2021-07-03 07:00:00,DOT/USDT,15.11700000,15.55000000,15.06500000,15.44500000,747794.80500000,11461856.76063000,17061
1625292000000,2021-07-03 06:00:00,DOT/USDT,15.15200000,15.16400000,15.09200000,15.11400000,191994.63900000,2905770.20374600,5194
1625288400000,2021-07-03 05:00:00,DOT/USDT,15.10200000,15.15500000,15.03800000,15.14900000,200755.17600000,3031900.69595000,5624
1625284800000,2021-07-03 04:00:00,DOT/USDT,15.15300000,15.16500000,15.01900000,15.09600000,288872.01600000,4355296.46968500,6020
1625281200000,2021-07-03 03:00:00,DOT/USDT,15.16800000,15.19800000,15.05300000,15.15400000,187093.96500000,2831581.90598300,4967
1625277600000,2021-07-03 02:00:00,DOT/USDT,15.16600000,15.24800000,15.11800000,15.16700000,163080.54700000,2475302.09050800,6355
1625274000000,2021-07-03 01:00:00,DOT/USDT,15.12500000,15.21300000,15.07200000,15.16500000,179030.45300000,2712825.84600000,4269
1625270400000,2021-07-03 00:00:00,DOT/USDT,15.28800000,15.33600000,15.07600000,15.12700000,222218.13700000,3378767.27403500,5710
1625266800000,2021-07-02 23:00:00,DOT/USDT,15.29700000,15.34700000,15.21000000,15.28900000,269048.85500000,4110767.19214400,7114
1625263200000,2021-07-02 22:00:00,DOT/USDT,15.16200000,15.30000000,15.14000000,15.29700000,240756.61700000,3662497.13224200,6956
1625259600000,2021-07-02 21:00:00,DOT/USDT,14.93600000,15.20000000,14.92500000,15.16200000,145790.19300000,2200335.17553300,4943
1625256000000,2021-07-02 20:00:00,DOT/USDT,15.11600000,15.12400000,14.87900000,14.93600000,197499.58700000,2959471.24109500,5312
1625252400000,2021-07-02 19:00:00,DOT/USDT,15.02700000,15.12300000,14.99600000,15.10800000,198287.31400000,2983550.64774900,4961
1625248800000,2021-07-02 18:00:00,DOT/USDT,15.12300000,15.13200000,14.94200000,15.02100000,258176.54500000,3878946.37688100,7041
1625245200000,2021-07-02 17:00:00,DOT/USDT,15.19800000,15.22500000,15.05400000,15.12500000,177738.59900000,2691813.25685800,4791
