unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1629576000000,2021-08-21 20:00:00,SOL/USDT,73.23900000,74.30700000,72.92600000,73.91800000,116617.80900000,8589522.80027200,42307
1629572400000,2021-08-21 19:00:00,SOL/USDT,74.08800000,74.37400000,72.60000000,73.24800000,192419.99300000,14150318.19691100,72289
1629568800000,2021-08-21 18:00:00,SOL/USDT,74.61400000,74.85700000,73.46300000,74.12400000,142090.96200000,10540896.81338700,57524
1629565200000,2021-08-21 17:00:00,SOL/USDT,75.69300000,75.71400000,72.80000000,74.60000000,229840.87900000,17178351.23977200,75617
1629561600000,2021-08-21 16:00:00,SOL/USDT,75.39100000,76.48600000,74.96600000,75.70800000,144293.42400000,10913038.25891700,16722
1629558000000,2021-08-21 15:00:00,SOL/USDT,75.34000000,75.97100000,75.11000000,75.40600000,122272.78800000,9223552.56489100,20719
1629554400000,2021-08-21 14:00:00,SOL/USDT,76.67000000,76.81100000,74.80800000,75.33500000,297960.66100000,22462967.20303500,90166
1629550800000,2021-08-21 13:00:00,SOL/USDT,76.69400000,76.89900000,76.01200000,76.66100000,164300.22000000,12559597.25180400,44778
1629547200000,2021-08-21 12:00:00,SOL/USDT,75.90000000,77.11700000,75.77900000,76.68800000,179392.44300000,13742184.36610300,29511
1629543600000,2021-08-21 11:00:00,SOL/USDT,77.15700000,77.21900000,74.34100000,75.89800000,381630.82600000,28882986.98853400,57426
1629540000000,2021-08-21 10:00:00,SOL/USDT,77.61400000,77.85000000,76.85700000,77.14400000,164268.40700000,12695121.44970600,25004
1629536400000,2021-08-21 09:00:00,SOL/USDT,78.63500000,78.63700000,77.41900000,77.61000000,198079.28600000,15429686.37337800,21125
1629532800000,2021-08-21 08:00:00,SOL/USDT,78.85200000,79.15000000,77.89900000,78.65400000,321065.09200000,25230332.18952900,135593
1629529200000,2021-08-21 07:00:00,SOL/USDT,80.10000000,80.16400000,78.50000000,78.85500000,213495.91300000,16883653.01394100,23402
1629525600000,2021-08-21 06:00:00,SOL/USDT,79.14000000,80.30600000,78.82900000,80.10800000,185195.23800000,14728067.56939700,83451
1629522000000,2021-08-21 05:00:00,SOL/USDT,78.44600000,79.58400000,78.35000000,79.16300000,169718.91100000,13419361.60709700,68613
1629518400000,2021-08-21 04:00:00,SOL/USDT,79.66300000,80.16300000,78.23300000,78.44200000,192121.26400000,15215070.67068600,26861
1629514800000,2021-08-21 03:00:00,SOL/USDT,79.84800000,80.73600000,79.41200000,79.65700000,207749.57300000,16641397.81013000,21262
1629511200000,2021-08-21 02:00:00,SOL/USDT,78.55000000,82.00000000,78.40600000,79.88400000,622803.63800000,50192761.17600500,114527
1629507600000,2021-08-21 01:00:00,SOL/USDT,77.91300000,78.78100000,77.22200000,78.55000000,162876.01100000,12700961.99630600,17015
1629504000000,2021-08-21 00:00:00,SOL/USDT,78.68400000,79.04200000,76.33200000,77.95600000,370569.96200000,28723196.56302200,37473
